pnum;congruent;incongruent
1;370;382,218181818182
2;391,338709677419;437,982142857143
3;480,85;525,229508196721
4;534,7;693,325581395349
5;556,983050847458;658,706896551724
6;394,435483870968;479,327586206897
7;493,35;547,415094339623
8;485;582,112903225806
9;521,049180327869;570,606557377049
10;549,540983606557;631,877192982456
11;442,568965517241;531,381818181818
12;530,830188679245;623,632653061224
13;448,53125;508,903225806452
14;455,6;561,732142857143
15;525,016393442623;609,625
16;488,7;596,553571428571
17;424,306451612903;461,875
18;446,5;507,403225806452
19;503,253968253968;541,295081967213
20;441,758064516129;498,5
21;563,112903225806;711,739130434783
22;415,931034482759;478,14
23;475,516129032258;550,983333333333
24;410,316666666667;449,475409836066
25;607,55;662,931034482759
26;562,116666666667;622,338983050847
27;442,322033898305;472,065573770492
28;530,16393442623;580,254237288136
29;408;450,388888888889
30;391,890909090909;458,942857142857
31;399,913793103448;461,070175438596
32;429,915254237288;474,133333333333
